osm_type,osm_id,name,name:be,name:ru
node,4400361789,ATM ВТБ,,
node,1365440030,ATM Технобанк,,
node,4632492675,АТМ БНБ-банк,,
node,4270093743,АТМ БПС-банк,,
node,4321289109,АТМ Белагропромбанк,,
node,4263185614,АТМ Белгазпромбанк,,
node,4263185615,АТМ Белгазпромбанк,,
node,4268273137,АТМ Белгазпромбанк,,
node,4268273138,АТМ Белгазпромбанк,,
node,4287527490,Альфа-Банк,,
node,9452058022,Альфа-Банк,,
node,9452058034,Альфа-Банк,,
node,9452058045,Альфа-Банк,,
node,9452058049,Альфа-Банк,,
node,9452058058,Альфа-Банк,,
node,9452058060,Альфа-Банк,,
node,3719622374,БПС,,
node,4595192767,БПС,,
node,5301168689,БПС Сбербанк,,
node,1211895651,БПС-Cбербанк,,
node,5001131474,БСБ банк,,
node,3874488855,БТА-банк,,
node,4485495471,Банк БелВЭБ,,
node,4485495472,Банк БелВЭБ,,
node,4485497732,Банк БелВЭБ,,
node,4485508640,Банк БелВЭБ,,
node,4485510702,Банк БелВЭБ,,
node,4485523516,Банк БелВЭБ,,
node,4485530167,Банк БелВЭБ,,
node,4485532589,Банк БелВЭБ,,
node,4485542210,Банк БелВЭБ,,
node,4485577287,Банк БелВЭБ,,
node,4485598767,Банк БелВЭБ,,
node,3781728703,"Банкомат ""БПС-Банк""",,
node,1095201348,"Банкомат ""Белагропромбанк""",,
node,9529260964,Банкомат Белагропромбанк,,
node,9529285283,Банкомат Белагропромбанк,,
node,7807280918,Бел веб,,
node,4691695292,БелСвиссбанк,,
node,9160254884,БелагроПромБанк,,
node,6698386663,Белагропромбанка,,
node,1259166146,Белорусский народный банк,,
node,306062491,Бпс-сбербанк,,
node,3803456598,Обменный пункт,,
node,4271723981,ПриорБанк,,
node,1676765899,Терминал оплаты услуг,,
node,4375581695,платежный терминал Приорбанк,,
node,1910430302,старый авторынок,,
